date,new_cases,total_cases,new_deaths,total_deaths
2020-02-03,1,1,0.0,0.0
2020-02-04,0,1,0.0,0.0
2020-02-05,0,1,0.0,0.0
2020-02-06,0,1,0.0,0.0
2020-02-07,0,1,0.0,0.0
2020-02-08,0,1,0.0,0.0
2020-02-09,0,1,0.0,0.0
2020-02-10,1,2,0.0,0.0
2020-02-11,4,6,0.0,0.0
2020-02-12,0,6,0.0,0.0
2020-02-13,1,7,0.0,0.0
2020-02-14,0,7,0.0,0.0
2020-02-15,0,7,0.0,0.0
2020-02-16,0,7,0.0,0.0
2020-02-17,1,8,0.0,0.0
2020-02-18,0,8,0.0,0.0
2020-02-19,0,8,0.0,0.0
2020-02-20,0,8,0.0,0.0
2020-02-21,1,9,0.0,0.0
2020-02-22,0,9,0.0,0.0
2020-02-23,3,12,0.0,0.0
2020-02-24,1,13,0.0,0.0
2020-02-25,1,14,0.0,0.0
2020-02-26,0,14,0.0,0.0
2020-02-27,1,15,0.0,0.0
2020-02-28,0,15,0.0,0.0
2020-02-29,1,16,0.0,0.0
2020-03-01,3,19,0.0,0.0
2020-03-02,12,31,0.0,0.0
2020-03-03,6,37,0.0,0.0
2020-03-04,15,52,0.0,0.0
2020-03-05,13,65,0.0,0.0
2020-03-06,23,88,0.0,0.0
2020-03-07,14,102,0.0,0.0
2020-03-08,22,124,0.0,0.0
2020-03-09,54,178,2.0,2.0
2020-03-10,95,273,1.0,3.0
2020-03-11,183,456,3.0,6.0
2020-03-12,167,623,6.0,12.0
2020-03-13,138,761,6.0,18.0
2020-03-14,149,910,11.0,29.0
2020-03-15,165,1075,8.0,37.0
2020-03-16,237,1312,15.0,52.0
2020-03-17,310,1622,24.0,76.0
2020-03-18,357,1979,26.0,102.0
2020-03-19,332,2311,25.0,127.0
2020-03-20,424,2735,46.0,173.0
2020-03-21,348,3083,46.0,219.0
2020-03-22,439,3522,53.0,272.0
2020-03-23,685,4207,56.0,328.0
2020-03-24,636,4843,87.0,415.0
2020-03-25,752,5595,119.0,534.0
2020-03-26,740,6335,123.0,657.0
2020-03-27,818,7153,128.0,785.0
2020-03-28,577,7730,119.0,904.0
2020-03-29,596,8326,144.0,1048.0
2020-03-30,848,9174,148.0,1196.0
2020-03-31,935,10109,181.0,1377.0
2020-04-01,977,11086,189.0,1566.0
2020-04-02,1063,12149,193.0,1759.0
2020-04-03,985,13134,192.0,1951.0
2020-04-04,765,13899,225.0,2176.0
2020-04-05,636,14535,196.0,2372.0
2020-04-06,858,15393,197.0,2569.0
2020-04-07,946,16339,221.0,2790.0
2020-04-08,867,17206,232.0,3022.0
2020-04-09,791,17997,200.0,3222.0
2020-04-10,622,18619,174.0,3396.0
2020-04-11,518,19137,164.0,3560.0
2020-04-12,502,19639,169.0,3729.0
2020-04-13,601,20240,170.0,3899.0
2020-04-14,600,20840,143.0,4042.0
2020-04-15,657,21497,147.0,4189.0
2020-04-16,574,22071,138.0,4327.0
2020-04-17,577,22648,110.0,4437.0
2020-04-18,401,23049,118.0,4555.0
2020-04-19,398,23447,116.0,4671.0
2020-04-20,425,23872,97.0,4768.0
2020-04-21,463,24335,105.0,4873.0
2020-04-22,399,24734,110.0,4983.0
2020-04-23,520,25254,80.0,5063.0
2020-04-24,375,25629,75.0,5138.0
2020-04-25,332,25961,57.0,5195.0
2020-04-26,310,26271,62.0,5257.0
2020-04-27,418,26689,55.0,5312.0
2020-04-28,311,27000,58.0,5370.0
2020-04-29,432,27432,52.0,5422.0
2020-04-30,426,27858,45.0,5467.0
2020-05-01,355,28213,42.0,5509.0
2020-05-02,248,28461,52.0,5561.0
2020-05-03,170,28631,43.0,5604.0
2020-05-04,245,28876,37.0,5641.0
2020-05-05,216,29092,34.0,5675.0
2020-05-06,267,29359,43.0,5718.0
2020-05-07,273,29632,28.0,5746.0
2020-05-08,208,29840,30.0,5776.0
2020-05-09,128,29968,25.0,5801.0
2020-05-10,123,30091,27.0,5828.0
2020-05-11,160,30251,23.0,5851.0
2020-05-12,191,30442,15.0,5866.0
2020-05-13,203,30645,12.0,5878.0
2020-05-14,159,30804,17.0,5895.0
2020-05-15,132,30936,18.0,5913.0
2020-05-16,74,31010,10.0,5923.0
